Samp,Signal,I,Q,R,Phi,,,,
416,-1165,-54.5,-41.37,68.42,-2.49,,,,
417,-1526,-54.46,-42.3,68.96,-2.48,,,,
418,-1729,-55.07,-43.15,69.96,-2.48,,,,
419,-1725,-56.06,-43.46,70.93,-2.48,,,,
420,-1505,-56.93,-43.14,71.43,-2.49,,,,
421,-1149,-57.31,-42.53,71.37,-2.5,,,,
422,-787,-57.28,-42.01,71.03,-2.51,,,,
423,-571,-57.03,-41.69,70.65,-2.51,,,,
424,-579,-56.65,-41.55,70.26,-2.51,,,,
425,-809,-56.13,-41.68,69.92,-2.5,,,,
426,-1167,-55.66,-42.25,69.88,-2.49,,,,
427,-1528,-55.63,-43.18,70.42,-2.48,,,,
428,-1730,-56.23,-44.04,71.42,-2.48,,,,
429,-1725,-57.23,-44.34,72.4,-2.48,,,,
430,-1505,-58.09,-44.02,72.89,-2.49,,,,
431,-1151,-58.48,-43.41,72.83,-2.5,,,,
432,-787,-58.44,-42.89,72.49,-2.51,,,,
433,-569,-58.2,-42.57,72.11,-2.51,,,,
434,-579,-57.81,-42.43,71.72,-2.51,,,,
435,-809,-57.29,-42.56,71.38,-2.5,,,,
436,-1168,-56.83,-43.13,71.34,-2.49,,,,
437,-1526,-56.79,-44.06,71.88,-2.48,,,,
438,-1728,-57.39,-44.91,72.88,-2.48,,,,
439,-1726,-58.39,-45.22,73.85,-2.48,,,,
440,-1505,-59.25,-44.9,74.34,-2.49,,,,
441,-1151,-59.64,-44.29,74.28,-2.5,,,,
442,-787,-59.6,-43.76,73.94,-2.51,,,,
443,-568,-59.35,-43.45,73.56,-2.51,,,,
444,-580,-58.97,-43.31,73.17,-2.51,,,,
445,-809,-58.45,-43.44,72.82,-2.5,,,,
446,-1167,-57.98,-44,72.79,-2.49,,,,
447,-1527,-57.95,-44.94,73.33,-2.48,,,,
448,-1728,-58.55,-45.79,74.32,-2.48,,,,
449,-1726,-59.54,-46.09,75.3,-2.48,,,,
450,-1504,-60.4,-45.77,75.79,-2.49,,,,
451,-1150,-60.79,-45.16,75.73,-2.5,,,,
452,-788,-60.75,-44.63,75.39,-2.51,,,,
453,-568,-60.5,-44.32,75,-2.51,,,,
454,-579,-60.12,-44.18,74.61,-2.51,,,,
455,-810,-59.6,-44.31,74.26,-2.5,,,,
456,-1167,-59.13,-44.87,74.23,-2.49,,,,
457,-1526,-59.09,-45.8,74.77,-2.48,,,,
458,-1729,-59.69,-46.65,75.76,-2.48,,,,
459,-1725,-60.69,-46.96,76.73,-2.48,,,,
460,-1506,-61.55,-46.64,77.22,-2.49,,,,
461,-1149,-61.93,-46.02,77.16,-2.5,,,,
462,-787,-61.9,-45.5,76.82,-2.51,,,,
463,-570,-61.65,-45.18,76.43,-2.51,,,,
464,-579,-61.26,-45.04,76.04,-2.51,,,,
465,-811,-60.74,-45.17,75.69,-2.5,,,,
466,-1166,-60.27,-45.73,75.66,-2.49,,,,
467,-1526,-60.23,-46.66,76.19,-2.48,,,,
468,-1729,-60.83,-47.51,77.19,-2.48,,,,
469,-1725,-61.82,-47.82,78.16,-2.48,,,,
470,-1505,-62.68,-47.5,78.65,-2.49,,,,
471,-1151,-63.07,-46.88,78.59,-2.5,,,,
472,-787,-63.03,-46.36,78.24,-2.51,,,,
473,-571,-62.78,-46.04,77.85,-2.51,,,,
474,-579,-62.39,-45.9,77.46,-2.51,,,,
475,-810,-61.87,-46.03,77.11,-2.5,,,,
476,-1168,-61.4,-46.59,77.08,-2.49,,,,
477,-1526,-61.36,-47.52,77.61,-2.48,,,,
478,-1729,-61.96,-48.37,78.61,-2.48,,,,
479,-1725,-62.95,-48.67,79.58,-2.48,,,,
480,-1505,-63.81,-48.35,80.06,-2.49,,,,
481,-1151,-64.2,-47.73,80,-2.5,,,,
482,-787,-64.16,-47.21,79.66,-2.51,,,,
483,-569,-63.91,-46.89,79.27,-2.51,,,,
484,-581,-63.52,-46.75,78.87,-2.51,,,,
